name,birthday,nationality
Tom Hanks,1956-07-09,US
Julia Roberts,1967-10-28,US
Wagner Moura,1976-06-27,BR
Sandra Bullock,1964-07-26,US
Gisele Bündchen,1980-07-20,BR
Denzel Washington,1954-12-28,US
Camila Mendes,1994-06-29,BR
Brad Pitt,1963-12-18,US
Fernanda Montenegro,1929-10-16,BR
Leonardo DiCaprio,1974-11-11,US
Chris Evans,1981-06-13,US
Gloria Pires,1963-08-23,BR
Meryl Streep,1949-06-22,US
Wagner Moura,1976-06-27,BR
Robert Downey Jr.,1965-04-04,US
Taís Araújo,1978-11-25,BR
Matt Damon,1970-10-08,US
Cauã Reymond,1980-05-20,BR
Angelina Jolie,1975-06-04,US
Rodrigo Santoro,1975-08-22,BR